entity_type,entity_id,entity_name,candidate_count,first_candidate_full_name,first_candidate_username,error_message,reason_for_no_validation
empresa,1450,,1,akadami software🕊️🕊️🕊️🕊️🕊️🪽,suchi.tra785014,,Nenhum candidato passou na validação
empresa,1494,,0,,,,Sem candidatos da API
empresa,2609,,0,,,,Sem candidatos da API
empresa,1946,,0,,,,Sem candidatos da API
empresa,1917,,0,,,,Sem candidatos da API
empresa,2390,,0,,,,Sem candidatos da API
empresa,167,,0,,,,Sem candidatos da API
empresa,2373,,0,,,,Sem candidatos da API
empresa,623,,19,La Dhany do Brasil | Prime Time,boteco.ladhany,,Nenhum candidato passou na validação
empresa,1383,,0,,,,Sem candidatos da API
empresa,1283,,8,Império | Transporte e Logística,transportadoraimperio,,Nenhum candidato passou na validação
empresa,1361,,0,,,,Sem candidatos da API
empresa,1282,,0,,,,Sem candidatos da API
empresa,2517,,1,Trisan | Seguros | Consultoria para Rh e Liderança,segurostrisan,,Nenhum candidato passou na validação
empresa,1155,,0,,,,Sem candidatos da API
empresa,1156,,0,,,,Sem candidatos da API
empresa,1836,,0,,,,Sem candidatos da API
empresa,284,,0,,,,Sem candidatos da API
empresa,1827,,0,,,,Sem candidatos da API
empresa,1007,,0,,,,Sem candidatos da API
empresa,1384,,0,,,,Sem candidatos da API
empresa,1428,,0,,,,Sem candidatos da API
empresa,938,,0,,,,Sem candidatos da API
empresa,1429,,0,,,,Sem candidatos da API
empresa,866,,0,,,,Sem candidatos da API
empresa,921,,0,,,,Sem candidatos da API
empresa,158,,0,,,,Sem candidatos da API
empresa,483,,1,Wellinghton Taylor Giovanuci Filho,wellinghton.taylor,,Nenhum candidato passou na validação
empresa,958,,0,,,,Sem candidatos da API
empresa,815,,0,,,,Sem candidatos da API
empresa,1366,,19,不要看我小帳我的美照都在大帳,_81yyy,,Nenhum candidato passou na validação
empresa,291,,0,,,,Sem candidatos da API
empresa,809,,1,•Cde Aracruz👊7º ano da zoeira,setimoanocde.ofc,,Nenhum candidato passou na validação
